,syllogisms,classification,validaion flags (AL),binary validation flags (AL)
0,"all b are a, all c are b; all c are a.",AAA1,Unconditionally valid,valid
1,"all b are a, all c are b; some c are a.",AAI1,Conditionally valid,valid
2,"all b are a, all c are b; no c are a.",AAE1,Invalid,invalid
3,"all b are a, all c are b; some c are not a.",AAO1,Invalid,invalid
4,"all b are a, some c are b; all c are a.",AIA1,Invalid,invalid
5,"all b are a, some c are b; some c are a.",AII1,Unconditionally valid,valid
6,"all b are a, some c are b; no c are a.",AIE1,Invalid,invalid
7,"all b are a, some c are b; some c are not a.",AIO1,Invalid,invalid
8,"all b are a, no c are b; all c are a.",AEA1,Invalid,invalid
9,"all b are a, no c are b; some c are a.",AEI1,Invalid,invalid
10,"all b are a, no c are b; no c are a.",AEE1,Invalid,invalid
11,"all b are a, no c are b; some c are not a.",AEO1,Invalid,invalid
12,"all b are a, some c are not b; all c are a.",AOA1,Invalid,invalid
13,"all b are a, some c are not b; some c are a.",AOI1,Invalid,invalid
14,"all b are a, some c are not b; no c are a.",AOE1,Invalid,invalid
15,"all b are a, some c are not b; some c are not a.",AOO1,Invalid,invalid
16,"some b are a, all c are b; all c are a.",IAA1,Invalid,invalid
17,"some b are a, all c are b; some c are a.",IAI1,Invalid,invalid
18,"some b are a, all c are b; no c are a.",IAE1,Invalid,invalid
19,"some b are a, all c are b; some c are not a.",IAO1,Invalid,invalid
20,"some b are a, some c are b; all c are a.",IIA1,Invalid,invalid
21,"some b are a, some c are b; some c are a.",III1,Invalid,invalid
22,"some b are a, some c are b; no c are a.",IIE1,Invalid,invalid
23,"some b are a, some c are b; some c are not a.",IIO1,Invalid,invalid
24,"some b are a, no c are b; all c are a.",IEA1,Invalid,invalid
25,"some b are a, no c are b; some c are a.",IEI1,Invalid,invalid
26,"some b are a, no c are b; no c are a.",IEE1,Invalid,invalid
27,"some b are a, no c are b; some c are not a.",IEO1,Invalid,invalid
28,"some b are a, some c are not b; all c are a.",IOA1,Invalid,invalid
29,"some b are a, some c are not b; some c are a.",IOI1,Invalid,invalid
30,"some b are a, some c are not b; no c are a.",IOE1,Invalid,invalid
31,"some b are a, some c are not b; some c are not a.",IOO1,Invalid,invalid
32,"no b are a, all c are b; all c are a.",EAA1,Invalid,invalid
33,"no b are a, all c are b; some c are a.",EAI1,Invalid,invalid
34,"no b are a, all c are b; no c are a.",EAE1,Unconditionally valid,valid
35,"no b are a, all c are b; some c are not a.",EAO1,Conditionally valid,valid
36,"no b are a, some c are b; all c are a.",EIA1,Invalid,invalid
37,"no b are a, some c are b; some c are a.",EII1,Invalid,invalid
38,"no b are a, some c are b; no c are a.",EIE1,Invalid,invalid
39,"no b are a, some c are b; some c are not a.",EIO1,Unconditionally valid,valid
40,"no b are a, no c are b; all c are a.",EEA1,Invalid,invalid
41,"no b are a, no c are b; some c are a.",EEI1,Invalid,invalid
42,"no b are a, no c are b; no c are a.",EEE1,Invalid,invalid
43,"no b are a, no c are b; some c are not a.",EEO1,Invalid,invalid
44,"no b are a, some c are not b; all c are a.",EOA1,Invalid,invalid
45,"no b are a, some c are not b; some c are a.",EOI1,Invalid,invalid
46,"no b are a, some c are not b; no c are a.",EOE1,Invalid,invalid
47,"no b are a, some c are not b; some c are not a.",EOO1,Invalid,invalid
48,"some b are not a, all c are b; all c are a.",OAA1,Invalid,invalid
49,"some b are not a, all c are b; some c are a.",OAI1,Invalid,invalid
50,"some b are not a, all c are b; no c are a.",OAE1,Invalid,invalid
51,"some b are not a, all c are b; some c are not a.",OAO1,Invalid,invalid
52,"some b are not a, some c are b; all c are a.",OIA1,Invalid,invalid
53,"some b are not a, some c are b; some c are a.",OII1,Invalid,invalid
54,"some b are not a, some c are b; no c are a.",OIE1,Invalid,invalid
55,"some b are not a, some c are b; some c are not a.",OIO1,Invalid,invalid
56,"some b are not a, no c are b; all c are a.",OEA1,Invalid,invalid
57,"some b are not a, no c are b; some c are a.",OEI1,Invalid,invalid
58,"some b are not a, no c are b; no c are a.",OEE1,Invalid,invalid
59,"some b are not a, no c are b; some c are not a.",OEO1,Invalid,invalid
60,"some b are not a, some c are not b; all c are a.",OOA1,Invalid,invalid
