all tellers are miners, all poets are tellers; all poets are miners.
all barbers are skaters, all cooks are barbers; some cooks are skaters.
all tailors are models, all florists are tailors; no florists are models.
all sculptors are actuaries, all writers are sculptors; some writers are not actuaries.
all sculptors are actuaries, some writers are sculptors; all writers are actuaries.
all hikers are students, some designers are hikers; some designers are students.
all opticians are runners, some clerks are opticians; no clerks are runners.
all painters are surfers, some porters are painters; some porters are not surfers.
all hikers are students, no designers are hikers; all designers are students.
all assistants are athletes, no chefs are assistants; some chefs are athletes.
all painters are surfers, no porters are painters; no porters are surfers.
all cooks are linguists, no models are cooks; some models are not linguists.
all actors are joggers, some carpenters are not actors; all carpenters are joggers.
all opticians are runners, some clerks are not opticians; some clerks are runners.
all sailors are planners, some engineers are not sailors; no engineers are planners.
all opticians are runners, some clerks are not opticians; some clerks are not runners.
some opticians are runners, all clerks are opticians; all clerks are runners.
some assistants are athletes, all chefs are assistants; some chefs are athletes.
some workers are chemists, all painters are workers; no painters are chemists.
some bankers are dancers, all riders are bankers; some riders are not dancers.
some opticians are runners, some clerks are opticians; all clerks are runners.
some analysts are hunters, some swimmers are analysts; some swimmers are hunters.
some drivers are chemists, some dancers are drivers; no dancers are chemists.
some hikers are therapists, some opticians are hikers; some opticians are not therapists.
some opticians are runners, no clerks are opticians; all clerks are runners.
some opticians are runners, no clerks are opticians; some clerks are runners.
some bankers are dancers, no riders are bankers; no riders are dancers.
some porters are drivers, no chemists are porters; some chemists are not drivers.
some novelists are scientists, some florists are not novelists; all florists are scientists.
some surfers are farmers, some writers are not surfers; some writers are farmers.
some assistants are athletes, some chefs are not assistants; no chefs are athletes.
some tailors are models, some florists are not tailors; some florists are not models.
no bankers are dancers, all riders are bankers; all riders are dancers.
no sailors are planners, all engineers are sailors; some engineers are planners.
no clerks are managers, all butchers are clerks; no butchers are managers.
no drivers are chemists, all dancers are drivers; some dancers are not chemists.
no cashiers are students, some doctors are cashiers; all doctors are students.
no butchers are clerks, some athletes are butchers; some athletes are clerks.
no sailors are planners, some engineers are sailors; no engineers are planners.
no actors are joggers, some carpenters are actors; some carpenters are not joggers.
no opticians are runners, no clerks are opticians; all clerks are runners.
no bankers are dancers, no riders are bankers; some riders are dancers.
no assistants are athletes, no chefs are assistants; no chefs are athletes.
no agents are riders, no waiters are agents; some waiters are not riders.
no hikers are therapists, some opticians are not hikers; all opticians are therapists.
no sculptors are actuaries, some writers are not sculptors; some writers are actuaries.
no novelists are scientists, some florists are not novelists; no florists are scientists.
no analysts are hunters, some swimmers are not analysts; some swimmers are not hunters.
some riders are not doctors, all investors are riders; all investors are doctors.
some agents are not riders, all waiters are agents; some waiters are riders.
some novelists are not scientists, all florists are novelists; no florists are scientists.
some skaters are not linguists, all singers are skaters; some singers are not linguists.
some bankers are not dancers, some riders are bankers; all riders are dancers.
some bankers are not dancers, some riders are bankers; some riders are dancers.
some butchers are not clerks, some athletes are butchers; no athletes are clerks.
some sculptors are not actuaries, some writers are sculptors; some writers are not actuaries.
some poets are not assistants, no scientists are poets; all scientists are assistants.
some analysts are not hunters, no swimmers are analysts; some swimmers are hunters.
some cyclists are not golfers, no assistants are cyclists; no assistants are golfers.
some assistants are not athletes, no chefs are assistants; some chefs are not athletes.
some hikers are not students, some designers are not hikers; all designers are students.
some barbers are not skaters, some cooks are not barbers; some cooks are skaters.
some workers are not chemists, some painters are not workers; no painters are chemists.
some riders are not doctors, some investors are not riders; some investors are not doctors.
all athletes are assistants, all chefs are assistants; all chefs are athletes.
all runners are opticians, all clerks are opticians; some clerks are runners.
all actuaries are sculptors, all writers are sculptors; no writers are actuaries.
all clerks are butchers, all athletes are butchers; some athletes are not clerks.
all actuaries are sculptors, some writers are sculptors; all writers are actuaries.
all linguists are skaters, some singers are skaters; some singers are linguists.
all drivers are porters, some chemists are porters; no chemists are drivers.
all dancers are bankers, some riders are bankers; some riders are not dancers.
all chemists are drivers, no dancers are drivers; all dancers are chemists.
all surfers are painters, no porters are painters; some porters are surfers.
all managers are clerks, no butchers are clerks; no butchers are managers.
all riders are novelists, no linguists are novelists; some linguists are not riders.
all farmers are surfers, some writers are not surfers; all writers are farmers.
all drivers are porters, some chemists are not porters; some chemists are drivers.
all gamblers are cleaners, some models are not cleaners; no models are gamblers.
all planners are sailors, some engineers are not sailors; some engineers are not planners.
some linguists are skaters, all singers are skaters; all singers are linguists.
